,user_loginStatus,user_id,user_personal_language,classified_id,classified_type,classified_subtype,classified_price,classified_transactionType,classified_zip,classified_visualisationOption,classified_kitchen_type,classified_building_constructionYear,classified_building_condition,classified_energy_heatingType,classified_certificates_primaryEnergyConsumptionLevel,classified_bedroom_count,classified_land_surface,classified_atticExists,classified_basementExists,classified_outdoor_garden_surface,classified_outdoor_terrace_exists,classified_specificities_SME_office_exists,classified_wellnessEquipment_hasSwimmingPool,classified_parking_parkingSpaceCount_indoor,classified_parking_parkingSpaceCount_outdoor,classified_condition_isNewlyBuilt,customer_id,customer_name,customer_family,customer_groupInfo_id,customer_groupInfo_name,customer_networkInfo_id,customer_networkInfo_name,screen_name,screen_language
0,loggedout,,,10146915,apartment,apartment,339000,forsale,9890,xl,hyperequipped,2021,asnew,gas,1,2,,,,,true,,,,,1,1989885,immodavinci,agency,,,,,classifieddetails,en
1,loggedout,,,10156372,apartment,apartment,395000,forsale,1140,xl,usahyperequipped,2022,asnew,gas,54,3,,,true,,true,,,1,,1,3845981,bouyguesimmobilierbelgium,property_developer,,,,,classifieddetails,en
2,loggedout,,,10154682,apartment,apartment,965000,forsale,1150,xl,usahyperequipped,2021,asnew,gas,55,3,,,,,true,,,1,,1,1364801,victoire(immobilierneuf),real_estate_agency,,,,,classifieddetails,en
3,loggedout,,,10157770,apartment,apartment,249000,forsale,1800,xl,installed,2010,good,gas,88,2,,,true,,true,,,1,,,1483,century21berthouts-,agency,,,,,classifieddetails,en
4,loggedout,,,10157545,apartment,apartment,325000,forsale,8380,xl,hyperequipped,1967,asnew,gas,99,2,,,,,true,,,,,,285802,cambier-denil,agency,,,,,classifieddetails,en
5,loggedout,,,10154735,apartmentgroup,apartmentgroup,359000-419000,forsale,8700,xl,,,,,,,,,,,,,,6,6,1,1989885,immodavinci,agency,,,,,classifieddetails,en
6,loggedout,,,10154732,apartment,apartment,395000,forsale,9000,xl,usainstalled,2002,good,gas,92,2,,,true,,true,,,,1,,1989885,immodavinci,agency,,,,,classifieddetails,en
7,loggedout,,,10157528,apartmentgroup,apartmentgroup,435000-645000,forsale,1050,xl,,,,,113,,,,,,,,,,,1,1364801,victoire(immobilierneuf),real_estate_agency,,,,,classifieddetails,en
8,loggedout,,,10154635,apartmentgroup,apartmentgroup,489000-849000,forsale,1050,xl,,,,,224,,,,,,,,,1,1,1,1942392,bathim&amp;col’immobiliersurmesure,agency,,,,,classifieddetails,en
9,loggedout,,,10157565,apartment,penthouse,595000,forsale,1040,xl,hyperequipped,1964,torenovate,gas,453,4,,,true,,true,true,,,,,1355753,j&amp;jproperties,agency,,,,,classifieddetails,en
10,loggedout,,,10157563,apartment,duplex,595000,forsale,1040,xl,hyperequipped,1964,torenovate,gas,453,4,,,true,,true,true,,,,,1355753,j&amp;jproperties,agency,,,,,classifieddetails,en
